name,type,durationInMin,category,venue,descriptionEvent,year
3 on 3 Basketball Day 1,Sports,480,Competitions,Basketball Courts,"This shorter version of Basketball is your shot at glory and achance for you to vindicate your love for the game. Come,play your best shot",2023
3 on 3 Basketball Day 2,Sports,540,Competitions,Basketball Courts,"This shorter version of Basketball is your shot at glory and a chance for you to vindicate your love for the game. Come,play your best shot",2023
3 on 3 Volleyball Day 1,Sports,540,Competitions,Volleyball Court,"This shorter version of Volleyball is your shot at glory and achance for you to vindicate your love for the game. Come,play your best shot!",2023
3 on 3 Volleyball Day 2,Sports,480,Competitions,Volleyball Court,"This shorter version of Volleyball is your shot at glory and a chance for you to vindicate your love for the game. Come,play your best shot!",2023
5 on 5 Football Day 1,Sports,540,Competitions,Football Field,"This shorter version of Football is your shot at glory and achance for you to vindicate your love for the game. Held in
one of the football hotspots of the country, this 5-on-5competition will put your mettle and skills to test unlike anyother. Come, play your best shot!",2023
5 on 5 Football Day 2,Sports,540,Competitions,Football Field,"This shorter version of Football is your shot at glory and achance for you to vindicate your love for the game. Held inone of the football hotspots of the country, this 5-on-5competition will put your mettle and skills to test unlike anyother. Come, play your best shot!",2023
5 on 5 Football Day 3,Sports,540,Competitions,Football Field,"This shorter version of Football is your shot at glory and achance for you to vindicate your love for the game. Held inone of the football hotspots of the country, this 5-on-5competition will put your mettle and skills to test unlike anyother. Come, play your best shot!",2023
Aerreo,Pronites,150,Events,Pronite Stage,"Get ready for an explosive night of high-energy beats and electrifying performances, as Aerreo takes the stage for the Blitzkrieg Event! This talented DJ and producer is known for his innovative sound, blending elements of trance, techno, and house to create an unforgettable experience. With his electrifying sets, he'll get the crowd moving and leave everyone on the edge of their seats. So come and join us for a night of non-stop beats and bass, as Aerreo brings the house down in this epic event. Get ready to experience the ultimate blitzkrieg of sound and fury",2023
Alakh Pandey,Creators' Camp,150,Events,Auditorium,"Alakh Pandey Popular as Physics Wallah is one of the most famous YouTuber(Teacher) from India.He is famous because of his amazing teaching skills. Alakh is also a motivational speaker, he always cheers up every single student.",2023
Alcher Con,,180,Competitions,Old Sac Wall,Cosplay Competition,2023
Arm Wrestling,Sports,300,Competitions,Front of Graffiti Wall,"On that Sunday evening before supper at your friends place,or on that holiday you had with your cousins, or in betweenclasses when you had nothing better to do and sought a wayto become the cynosure of the class, and before you lost yourway in the winding alleys of studies, college and life, what did
you do? You Arm-Wrestled! Alcheringa gives you a chance toredeem yourself and win your muscles’ worth.
There will be 6 categories:
(<55, 55-60, 60-65, 65-70, 70-75, >75)",2023
Bikram Sarkar,Proshows,30,Events,Old Sac Wall,In India BMX  is  steadily  catching on and Alcheringa brings  to you  Bikram sarkar Bmx rider. Bikram sarkar has performed in RANGOLI festival in Guwahati .  Bikram enthralled onlookers as he perform an array of acrobatic  stunts on bmx bicycle.,2023
Business Quiz,Quiz,180,Competitions,Lecture Hall 2,,2023
Chirag Panjwani,Proshows,60,Events,Auditorium,"The show is about Chirag`s quest for revenge and how the quest has changed with time. Chirag`s jokes are about him being petty in day to day situations, about not acting his age. He cribs about his girlfriend and then cribs about being single when she’s had enough of his cribbing. But he enjoys cribbing at length about harmless things.His comedic style involves hiding inappropriate life experiences inside relatable topics. Overall he’s a fun person to watch on stage and a terrible person to have in life (he’s been told).",2023
